源文件,风险表达,上下文摘录
88雅各.docx,唯一一次,你不给我祝福，我就不让你走。结果，那人不仅给了他祝福，还给他改名，叫以色列，意思是与神较力得胜的人。从此，这个骗子成了十二支派之父，整个民族以他为名。这是圣经中唯一一次神在与人的对抗中输了。不是象征，不是比喻，是字面意义上的整夜摔跤，神自己承认，你得了胜。 那么问题来了，一个满肚子诡计的骗子，凭什么赢了神?而你可能一辈子读经，祷告，却从未真正遇见神。难道你连一个骗子都不如?要解开这个问题，我们必须回到圣经当中。你有没有注意到一个奇怪的现象?在圣经里，神从来没有一次责备雅各说
91神的儿子，神的儿子们，人子.docx,百分之百,了。约伯记第三十八章第七节说，那时晨星一同歌唱，神的众子也都欢呼。 注意这里说的是创立大地的时候，那个时候人类还没有被造，亚当还不存在。所以，这里的神的儿子们，百分之百不可能是人类，只能是天使，是那些在人类被造之前就已经存在的灵体。这一点基本上没有什么争议。 那我们就要搞清楚一个语言学上的问题了。希伯来原文里面，神的儿子们这个词是bene ha Elohim，直接翻译过来，就是属于神的存在们，或者说神的那一类的存在们。在希伯来语里面，某某的儿子不一定表示血缘上的父子关系，它
