源文件,风险表达,上下文摘录
20230503_假信仰与假平安.docx,一定就是,"富的人祷告时多会流泪,但不一定说他是更属灵的。 所以,主在这里所强调的是,人虽然称呼祂说:“主啊,主啊”,并显得十分热心,但不过是属乎肉体的表现。极大的热心不一定就是属灵的表现,可以是属肉体的。这是主第一部分的分析。单单依赖一个正确的信念,和单单具备热忱是危险的。 随后的一节,主再进一步把行为也包括在内。有什么行为是人作了,而仍然不能进天国的呢?真是一个使人警醒和可怕的问题。主说的第一件事是,那日会有很多人来向主说,他们奉祂的名字传道。但是,主对他们说:“我从来不认识你们"
和睦相处荣耀神.docx,一定就是,"们是为此蒙召,好叫我们承受福气(彼前三9)。 这样众人以为美的事,我们就要留心去做。这里我们应当注意:众人以为美的事不一定都是对的、正确的,众人以为美的事情不一定就是真理。所以,众人以为美的事情我们要留心去作,就是我们所要作的善行要预先思想好,不要随随便便的去作,免得有人利用我们的善行,向我们行恶的时候,我们措手不及临时所做出的自然反应就是常常会以恶报恶。我们的善行要是预先留心的、思想好了的,以致叫我们凡事都能够尊荣我们救主神的道(多二10),凡事都叫众人喜欢,不求自己的益"
